Unnamed: 0,Strassenklasse,Unfalldatum,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage,Monat
8258,Bundesstrasse,2018-11-15 00:00:00,35,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1454,Auto,Gut,11
8259,Bundesstrasse,2018-09-11 00:00:00,17,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2120,Fahrrad,Gut,9
8260,Bundesstrasse,2018-07-04 00:00:00,38,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1930,Auto,Gut,7
8261,nicht klassifiziert,2018-09-13 00:00:00,1,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,8,2,trocken,männlich,1215,Bus,Gut,9
8262,Bundesstrasse,2012-10-01 00:00:00,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,830,Fahrrad,Gut,10
8263,nicht klassifiziert,2018-11-23 00:00:00,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1500,Auto,Gut,11
8264,Landesstrasse,2018-02-06 00:00:00,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,3,nass / feucht,weiblich,2024,Auto,Regen,2
8265,Bundesstrasse,2011-03-09 00:00:00,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1645,Fahrrad,Gut,3
8266,Bundesstrasse,2018-10-28 00:00:00,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,nass / feucht,weiblich,1822,Auto,Gut,10
8267,nicht klassifiziert,2018-01-14 00:00:00,41,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1020,Bus,Gut,1
8268,Landesstrasse,2018-04-04 00:00:00,67,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1815,Auto,Gut,4
8269,nicht klassifiziert,2018-09-24 00:00:00,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,645,Fahrrad,Gut,9
8270,nicht klassifiziert,2012-03-18 00:00:00,18,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1730,Fahrrad,Gut,3
8271,Bundesstrasse,2011-03-29 00:00:00,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1730,Auto,Regen,3
8272,nicht klassifiziert,2018-03-01 00:00:00,3,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1545,Auto,Gut,3
8273,nicht klassifiziert,2018-10-02 00:00:00,67,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1810,Auto,Gut,10
8274,nicht klassifiziert,2018-02-12 00:00:00,17,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1215,Auto,Gut,2
8275,nicht klassifiziert,2018-06-10 00:00:00,59,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1917,Mottorrad (500cc),Gut,6
8276,nicht klassifiziert,2018-08-31 00:00:00,20,Passagier,2,Dunkelheit: keine Strassenbeleuchtung,1,1,trocken,männlich,20,Andere,Gut,8
8277,Autobahn,2018-12-30 00:00:00,35,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,nass / feucht,männlich,2327,Auto,Gut,12
8278,nicht klassifiziert,2012-03-13 00:00:00,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,935,Auto,Gut,3
8279,nicht klassifiziert,2018-04-13 00:00:00,57,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,840,Auto,Gut,4
8280,Bundesstrasse,2018-10-26 00:00:00,25,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,7,2,trocken,weiblich,29,Auto,Gut,10
8281,Bundesstrasse,2018-09-22 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1325,Mottorrad (50cc),Gut,9
8282,Bundesstrasse,2018-02-25 00:00:00,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1510,Auto,Gut,2
8283,nicht klassifiziert,2009-12-11 00:00:00,72,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1230,Bus,Gut,12
8284,nicht klassifiziert,2018-10-02 00:00:00,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,weiblich,835,Auto,Regen,10
8285,nicht klassifiziert,2018-06-16 00:00:00,17,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1540,Bus,Gut,6
8286,nicht klassifiziert,2018-04-15 00:00:00,9,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1110,Auto,Gut,4
8287,nicht klassifiziert,2018-04-26 00:00:00,8,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1530,Taxi,Gut,4
8288,nicht klassifiziert,2018-02-11 00:00:00,45,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1745,Fahrrad,Gut,2
8289,nicht klassifiziert,2018-01-03 00:00:00,18,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,2020,Auto,Gut,1
8290,nicht klassifiziert,2009-10-28 00:00:00,55,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1200,Mottorrad (125cc),Gut,10
8291,nicht klassifiziert,2018-07-06 00:00:00,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,2130,Auto,Gut,7
8292,Bundesstrasse,2018-04-05 00:00:00,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1450,Auto,Gut,4
8293,nicht klassifiziert,2018-03-20 00:00:00,34,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,1830,Bus,Regen (starker Wind),3
8294,Autobahn,2018-08-25 00:00:00,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,840,Auto,Regen,8
8295,nicht klassifiziert,2018-09-08 00:00:00,9,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1640,Auto,Gut,9
8296,Autobahn,2010-12-04 00:00:00,39,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,515,Auto,Gut,12
8297,nicht klassifiziert,2018-03-01 00:00:00,56,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,männlich,1627,Taxi,Gut,3
8298,nicht klassifiziert,2010-12-09 00:00:00,15,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,820,Auto,Gut,12
8299,nicht klassifiziert,2018-07-10 00:00:00,43,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,3,trocken,männlich,335,Auto,Gut,7
8300,Bundesstrasse,2018-04-27 00:00:00,27,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1820,Auto,Gut,4
8301,Bundesstrasse,2018-04-13 00:00:00,50,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,nass / feucht,männlich,51,Auto,Andere,4
8302,Bundesstrasse,2018-04-24 00:00:00,60,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1345,Bus,Gut,4
8303,Landesstrasse,2012-03-14 00:00:00,60,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1500,Auto,Gut,3
8304,nicht klassifiziert,2012-05-20 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,958,Auto,Gut,5
8305,Kraftfahrzeugstrasse,2018-08-09 00:00:00,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,717,Auto,Gut,8
8306,nicht klassifiziert,2018-09-11 00:00:00,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,750,Fahrrad,Gut,9
8307,nicht klassifiziert,2011-03-27 00:00:00,35,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1058,Auto,Gut,3
8308,nicht klassifiziert,2018-07-21 00:00:00,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,900,Auto,Gut,7
8309,Bundesstrasse,2018-06-09 00:00:00,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1115,Transporter,Gut,6
8310,Bundesstrasse,2018-07-31 00:00:00,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,11,2,trocken,männlich,1940,Bus,Gut,7
8311,Bundesstrasse,2018-01-09 00:00:00,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,nass / feucht,weiblich,1245,Auto,Gut,1
8312,Autobahn,2018-08-21 00:00:00,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1252,Auto,Gut,8
8313,Bundesstrasse,2018-09-01 00:00:00,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,800,Auto,Gut,9
8314,nicht klassifiziert,2018-11-17 00:00:00,63,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,1635,Auto,Gut,11
8315,Bundesstrasse,2018-04-12 00:00:00,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1230,Auto,Gut,4
8316,nicht klassifiziert,2018-09-20 00:00:00,30,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1820,Bus,Gut,9
8317,nicht klassifiziert,2018-07-15 00:00:00,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,710,Auto,Gut,7
8318,Autobahn,2018-01-10 00:00:00,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,817,Auto,Gut,1
8319,nicht klassifiziert,2018-09-17 00:00:00,71,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,6,trocken,weiblich,1600,Auto,Gut,9
8320,nicht klassifiziert,2018-11-15 00:00:00,16,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,weiblich,1833,Auto,Gut,11
8321,nicht klassifiziert,2018-06-12 00:00:00,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1910,Auto,Gut,6
8322,Bundesstrasse,2018-10-18 00:00:00,47,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1425,Fahrrad,Gut,10
8323,Bundesstrasse,2018-11-26 00:00:00,39,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,1805,Auto,Gut,11
8324,Bundesstrasse,2018-08-27 00:00:00,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,nass / feucht,weiblich,1455,Auto,Gut,8
8325,Autobahn,2018-10-11 00:00:00,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1404,Auto,Andere,10
8326,Bundesstrasse,2011-03-28 00:00:00,28,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1110,LKW bis 7.5t,Gut,3
8327,nicht klassifiziert,2018-11-12 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,800,Fahrrad,Gut,11
8328,Bundesstrasse,2009-03-31 00:00:00,20,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1720,Auto,Gut,3
8329,Autobahn,2018-01-28 00:00:00,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,1225,Auto,Gut,1
8330,Bundesstrasse,2018-01-07 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,800,Mottorrad (50cc),Gut,1
8331,Bundesstrasse,2018-02-23 00:00:00,65,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,2239,Mottorrad (125cc),Schnee,2
8332,nicht klassifiziert,2009-12-11 00:00:00,24,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1657,Taxi,Gut,12
8333,Bundesstrasse,2018-07-27 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,845,Auto,Gut,7
8334,Landesstrasse,2018-09-10 00:00:00,14,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,1905,Auto,Gut,9
8335,Bundesstrasse,2010-05-16 00:00:00,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1010,Auto,Gut,5
8336,Autobahn,2018-07-25 00:00:00,37,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,12,1,trocken,männlich,1350,Kleinbus,Gut,7
8337,Bundesstrasse,2018-07-15 00:00:00,26,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,1245,Auto,Gut,7
8338,Autobahn,2018-12-05 00:00:00,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,2354,Auto,Gut,12
8339,nicht klassifiziert,2018-08-29 00:00:00,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1125,Mottorrad (500cc),Gut,8
8340,nicht klassifiziert,2018-11-27 00:00:00,25,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1925,Fahrrad,Gut,11
8341,Bundesstrasse,2018-11-09 00:00:00,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,930,Auto,Gut,11
8342,nicht klassifiziert,2018-08-13 00:00:00,69,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1532,Bus,Gut,8
8343,nicht klassifiziert,2018-04-21 00:00:00,70,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1050,Bus,Gut,4
8344,nicht klassifiziert,2018-08-03 00:00:00,17,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,trocken,männlich,314,Auto,Gut,8
8345,Landesstrasse,2018-05-22 00:00:00,13,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1510,Bus,Gut,5
8346,nicht klassifiziert,2018-12-12 00:00:00,26,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,900,Auto,Regen,12
8347,nicht klassifiziert,2010-03-26 00:00:00,81,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1600,Transporter,Regen,3
8348,nicht klassifiziert,2018-08-31 00:00:00,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1031,Auto,Gut,8
8349,nicht klassifiziert,2018-02-20 00:00:00,9,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1605,Transporter,Gut,2
8350,nicht klassifiziert,2018-11-22 00:00:00,41,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,1,trocken,weiblich,1240,Bus,Gut,11
8351,nicht klassifiziert,2018-02-03 00:00:00,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1503,Bus,Gut,2
8352,nicht klassifiziert,2018-07-02 00:00:00,12,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1310,Auto,Gut,7
8353,nicht klassifiziert,2018-08-25 00:00:00,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1530,Auto,Gut,8
8354,Landesstrasse,2010-05-10 00:00:00,8,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,1,trocken,weiblich,1620,Bus,Gut,5
8355,nicht klassifiziert,2011-05-31 00:00:00,12,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,3,1,trocken,männlich,2025,Auto,Gut,5
8356,nicht klassifiziert,2018-06-11 00:00:00,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1330,Auto,Gut,6
8357,nicht klassifiziert,2018-07-18 00:00:00,64,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,2042,Auto,Gut,7
8358,nicht klassifiziert,2018-01-19 00:00:00,65,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1029,Bus,Schnee,1
8359,Autobahn,2018-02-23 00:00:00,4,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1435,Auto,Gut,2
8360,nicht klassifiziert,2018-02-20 00:00:00,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1206,Auto,Gut,2
8361,Bundesstrasse,2018-08-09 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1435,Transporter,Gut,8
8362,nicht klassifiziert,2018-07-02 00:00:00,18,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1840,Mottorrad (50cc),Gut,7
8363,Bundesstrasse,2018-01-25 00:00:00,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1815,Fahrrad,Gut,1
8364,Bundesstrasse,2009-05-13 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1340,Auto,Gut,5
8365,Bundesstrasse,2011-03-24 00:00:00,44,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1700,Fahrrad,Gut,3
8366,Bundesstrasse,2012-03-21 00:00:00,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,3,trocken,weiblich,1800,Fahrrad,Gut,3
8367,Landesstrasse,2018-08-31 00:00:00,16,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1635,Bus,Gut,8
8368,nicht klassifiziert,2018-07-31 00:00:00,4,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1255,Bus,Gut,7
8369,Bundesstrasse,2018-08-20 00:00:00,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,männlich,1410,Auto,Gut,8
8370,Autobahn,2010-05-29 00:00:00,37,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,nass / feucht,weiblich,1641,Auto,Regen,5
8371,nicht klassifiziert,2018-05-17 00:00:00,47,Fahrer,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1725,Mottorrad (50cc),Gut,5
8372,nicht klassifiziert,2010-03-28 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1730,Mottorrad (50cc),Gut,3
8373,Landesstrasse,2018-08-27 00:00:00,47,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1255,Auto,Gut,8
8374,Kraftfahrzeugstrasse,2011-05-09 00:00:00,6,Passagier,1,Dunkelheit: keine Strassenbeleuchtung,5,1,nass / feucht,weiblich,2313,Auto,Regen,5
8375,nicht klassifiziert,2018-11-01 00:00:00,15,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,703,Fahrrad,Gut,11
8376,nicht klassifiziert,2018-07-17 00:00:00,20,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,2,trocken,männlich,2010,Auto,Gut,7
8377,nicht klassifiziert,2018-01-14 00:00:00,58,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,Schnee,männlich,720,Auto,Gut,1
8378,Kraftfahrzeugstrasse,2018-11-09 00:00:00,19,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2300,Auto,Gut,11
8379,Bundesstrasse,2018-12-02 00:00:00,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,940,Transporter,Gut,12
8380,Bundesstrasse,2018-07-07 00:00:00,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,641,Auto,Gut,7
8381,nicht klassifiziert,2018-10-07 00:00:00,18,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,weiblich,2350,Auto,Gut,10
8382,Bundesstrasse,2010-03-24 00:00:00,39,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,2149,Mottorrad (500cc),Gut,3
8383,nicht klassifiziert,2009-03-03 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1155,Auto,Gut,3
8384,nicht klassifiziert,2018-09-01 00:00:00,26,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,3,trocken,männlich,39,Auto,Gut,9
8385,Kraftfahrzeugstrasse,2018-05-14 00:00:00,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,950,Auto,Gut,5
8386,Bundesstrasse,2018-09-17 00:00:00,24,Fahrer,2,Dunkelheit: keine Strassenbeleuchtung,4,1,trocken,männlich,215,Auto,Gut,9
8387,nicht klassifiziert,2018-02-25 00:00:00,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2245,Mottorrad (500cc),Gut,2
8388,Bundesstrasse,2018-01-18 00:00:00,94,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1238,Auto,Gut,1
8389,Bundesstrasse,2018-04-08 00:00:00,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,weiblich,1059,Auto,Gut,4
8390,Bundesstrasse,2018-09-16 00:00:00,32,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,männlich,1915,Auto,Regen,9
8391,Bundesstrasse,2018-07-20 00:00:00,59,Fahrer,3,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,weiblich,1925,Auto,Regen,7
8392,Bundesstrasse,2018-02-25 00:00:00,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1510,Auto,Gut,2
8393,Bundesstrasse,2018-07-31 00:00:00,67,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1405,Auto,Gut,7
8394,Bundesstrasse,2018-07-30 00:00:00,45,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,900,Auto,Regen,7
8395,nicht klassifiziert,2010-12-05 00:00:00,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,Frost/ Ice,weiblich,908,Auto,Gut,12
8396,nicht klassifiziert,2018-06-09 00:00:00,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1730,Auto,Gut,6
8397,nicht klassifiziert,2018-08-12 00:00:00,23,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,1,nass / feucht,weiblich,109,Auto,Gut,8
8398,Bundesstrasse,2018-05-16 00:00:00,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1310,Fahrrad,Gut,5
8399,Bundesstrasse,2012-05-31 00:00:00,40,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,3,Auto,Gut,5
8400,Bundesstrasse,2018-01-09 00:00:00,79,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1550,Bus,Gut,1
8401,Autobahn,2018-07-08 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,4,nass / feucht,weiblich,1545,Auto,Regen,7
8402,Bundesstrasse,2018-10-01 00:00:00,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2008,Auto,Gut,10
8403,Landesstrasse,2011-12-30 00:00:00,15,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1115,Transporter,Gut,12
8404,Bundesstrasse,2018-04-24 00:00:00,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,1,trocken,männlich,2038,Bus,Gut,4
8405,Bundesstrasse,2018-08-03 00:00:00,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,840,Fahrrad,Gut,8
8406,nicht klassifiziert,2018-04-11 00:00:00,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1530,Auto,Gut,4
8407,nicht klassifiziert,2012-03-17 00:00:00,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,1226,Auto,Gut,3
8408,Landesstrasse,2012-03-11 00:00:00,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1545,Fahrrad,Gut,3
8409,Bundesstrasse,2018-11-16 00:00:00,44,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2245,Auto,Gut,11
8410,nicht klassifiziert,2012-03-01 00:00:00,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1605,Fahrrad,Gut,3
8411,Bundesstrasse,2018-06-19 00:00:00,87,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1430,Bus,Gut,6
8412,Bundesstrasse,2018-07-03 00:00:00,5,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,trocken,weiblich,1745,Auto,Gut,7
8413,nicht klassifiziert,2011-05-19 00:00:00,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1742,Auto,Gut,5
8414,Bundesstrasse,2018-01-21 00:00:00,55,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1220,LKW ab 7.5t,Gut,1
8415,nicht klassifiziert,2009-03-26 00:00:00,14,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,820,Auto,Gut,3
